,label,desc
0,food,any substance consumed to provide nutritional support for the body; form of energy stored in chemical
1,common sole,flatfish
2,chlorella,genus of algae
3,capelin,species of fish
4,monjayaki,Japanese savory pancake
5,fish and chips,hot dish of fried fish and fried potato
6,kanafeh,Egyptian dish
8,albacore,species of fish
9,smørrebrød,Danish/Norwegian open sandwich
10,dyrlægens natmad,type of Danish open sandwich
11,stjerneskud,seafood smørrebrød
12,pandanus amaryllifolius,species of plant
13,imambayıldı,"Turkish cold dish based on eggplants, onions and olive oil"
14,hornazo,Spanish baked meat.
15,suet,"raw, hard fat of beef or mutton found around the loins and kidneys"
17,tacacá,typical Amazon soup
19,hazelnut,"nut of the hazel tree, Corylus avellana"
22,nocciola piemonte igp,Italian variety of hazelnut
23,avellana de reus,Spanish hazelnut varieties
25,hazelnut brittle,crunched hazelnuts
27,cumberland sausage,traditional sausage recipe in Britain
28,refried beans,Mexican dish
29,brem,Indonesian traditional fermented food
30,manjū,Japanese confection
31,ichigo daifuku,strawberry mochi dessert
39,momiji manjū,Japanese dessert
40,agemomiji,trademark
66,kame manjū,manjū made by the Kameya Corporation
67,rempeyek,Javanese savoury cracker
69,fischbrötchen,food: bread & fish
70,grünkohlessen,curly kale-based food
71,tête de moine,Swiss cheese
72,kruidnoten,Dutch candies
73,okonomiyaki,Japanese savory pancake
75,hirayachi,Okinawa-style pancake
76,kakioko,local version of okonomiyaki
78,hiroshimayaki,type of okonomiyaki
80,arroz con pollo,traditional dish of Spain and Latin America
81,youtiao,churro-like cruller of Chinese origin
83,anju,food accompanying alcohol
84,pork ball,traditional Taiwanese pork dish
85,rojak,Indonesian traditional fruit and vegetable dish originating from Java island
86,rujak cingur,Indonesian salad
88,bulung,Balian food
89,rojak bandung,Javanese type of salad originating from Bandung in West Java
90,freekeh,cereal food made from green durum wheat
91,banana chip,"dried, crispy slice of banana"
92,banku,Ghanaian meal made from maize and cassava dough
93,berry fruit,"small, pulpy, usually edible fruit, which may or may not be a ""berry"" in the botanical sense"
94,chub mackerel,species of fish
95,beni shōga,Japanese pickled ginger
96,meze,Salad dish
97,kopanisti mykonou,Greek cheese
98,dakos,Greek cuisine starter
99,lakerda,Turkish style salted fish (bonito)
100,bouyiourdi,Greek dish of baked feta
101,kısır,meze and teatime dish from the Turkish cuisine
102,baba ghanoush,Egyptian dish of tehina salad with grilled peeled  eggplant
103,şakşuka,Turkish meze made with eggplant and other veggies fried in olive oil and covered with a tomato-garlic sauce
104,fava,broad bean-based meze from the Turkish cuisine
105,tarama,roe-based meze common to Turkey and Greece
106,cacık,Turkish dish
107,tzatziki,"cold cucumber-yogurt dip, soup, or sauce"
108,meju,fermented soybean bricks
110,cendol,An Indonesian traditional drink from Jawa Tengah
112,shahe fen,Chinese noodle
113,congee,"type of rice, millet or grain porridge or gruel popular in many Asian countries"
114,omoyu,"thin, filtered, Japanese rice congee"
116,laba congee,congee served on the 8th day of the 12th month of Chinese lunar year
117,sampan congee,congee of Guangdong
118,pork congee with preserved egg,"congee originated from Guangdong, China"
119,tinutuan,Indonesian dish with rice and squash
120,milkfish congee,Taiwanese congee
121,cháo lòng,Vietnamese porridge
123,chagayu,green tea congee
124,bubur pedas,Indonesian porridge dish from Sambas
125,memek,"cuisine from Simeulue, Aceh"
126,kanji rumbi,"kind of bubur from Aceh, Indonesia"
127,arroz caldo,Filipino rice and chicken gruel
131,bubur sada,Gorontalo typical porridge prepared from mashed corn
132,köje,Uyghur/Kyrgyz/Kazakh congee
133,nauryz kozhe,Uyghur/Kazakh/Kyrgyz congee
135,juk,Korean rice porridge
136,tarak juk,milk porridge
137,hobak juk,Korean porridge
