Query	Parent	Child
celery greens	leafy vegetables	pseudo leaf
salmon trout	char	pseudo leaf
white mushroom	mushrooms	pseudo leaf
baking decorations	food	pseudo leaf
elderflower umbel	seeds	pseudo leaf
mozzarella stick	food	pseudo leaf
muffin baking mix	other baked goods	pseudo leaf
smoked raclette cheese	flavored cheese varieties	pseudo leaf
sour gummy candy	hard candies	pseudo leaf
lambs lettuce	lamb meat	pseudo leaf
fondants icing	sweet baked goods	pseudo leaf
albeli	cereal	pseudo leaf
caramel liqueur	liqueur	pseudo leaf
cake decorating pen	cakes	pseudo leaf
sweet potato	tubers	pseudo leaf
lemongrass	fruit vegetables	pseudo leaf
frozen spinach	starch	pseudo leaf
cheese skewers	flavored cheese varieties	pseudo leaf
cream	food	cream holder
okra	cereal	pseudo leaf
sweet chili sauce	basic sauces	pseudo leaf
stone fruits	food	pseudo leaf
fennel	vegetable herb	pseudo leaf
canned mushrooms marinated in oil	canned vegetables	pseudo leaf
cacao nibs	leafy vegetables	pseudo leaf
pea sprouts	sprouts seedlings	pseudo leaf
grischuna minipic	mushrooms	pseudo leaf
greek yogurt with honey	yogurts quarks	pseudo leaf
beer	alcoholic beverages	pseudo leaf
corn fed chicken breast	corn	pseudo leaf
apple wine	liqueur wine	pseudo leaf
licorice root	leafy vegetables	pseudo leaf
mettwurst	meat meat substitute products	pseudo leaf
whole grain pasta	dry pasta	pseudo leaf
vanilla flavor	flavors	pseudo leaf
veal cutlets from the nut	veal	pseudo leaf
almond cookies	cakes	pseudo leaf
goose meat	chicken meat	pseudo leaf
beer radish	flavored cheese varieties	pseudo leaf
fresh parsley	herbs spices	pseudo leaf
thai jasmine rice	fruit vegetables	pseudo leaf
sugar	food	pseudo leaf
dlicorn minced	ground meat	pseudo leaf
frozen pomme duchesse	food	pseudo leaf
red leaf lettuce	leafy vegetables	pseudo leaf
herb mustard	seasoning	pseudo leaf
veal liver	veal	pseudo leaf
brook trout	fruit vegetables	pseudo leaf
amaretti	soft drinks	pseudo leaf
frozen berry mix	berries	pseudo leaf
cream quark	yogurts quarks	pseudo leaf
gin	spirits	pseudo leaf
apricot ice cream	ice cream sorbet	pseudo leaf
flatfish	perch similar	pseudo leaf
chia seeds	tea coffee	pseudo leaf
veal sausage	veal	pseudo leaf
azuki bean paste	legumes	pseudo leaf
heart cherry	leafy vegetables	pseudo leaf
colored fondant	food	pseudo leaf
garlic clove	allium	pseudo leaf
nut seed mixes	food	pseudo leaf
dry vermouth	water	pseudo leaf
strawberry jam	jams jellies	pseudo leaf
creole rice	cookies	pseudo leaf
chili raclette cheese	hard cheese	pseudo leaf
veal feet	veal	pseudo leaf
wild broth	broths	pseudo leaf
ham	pork	pseudo leaf
beef sirloin steak	beef	pseudo leaf
coop jam sugar	food	pseudo leaf
poppy	berries	pseudo leaf
pickled pepper	pickles	pseudo leaf
fleur de sel	mushrooms	pseudo leaf
lumpfish roe	perch similar	pseudo leaf
fruit liqueur	liqueur	pseudo leaf
kernel roll	bread roll	pseudo leaf
dried rosemary	dried herbs	pseudo leaf
black lentils from the can	plant based oils	pseudo leaf
guetzli	flour	pseudo leaf
t bone steak	tea coffee	pseudo leaf
flaxseed	fruit vegetables	pseudo leaf
betty bossi shanghai asian wok mix	cookies	pseudo leaf
green tabasco	pork	pseudo leaf
dark bread	bread	pseudo leaf
fondue cheese mix moiti moiti	hard cheese	pseudo leaf
floury boiled potatoes	flour	pseudo leaf
plum yogurt	yogurts quarks	pseudo leaf
passion fruit juice	fruit juice	pseudo leaf
non alcoholic beer apple wine	alcoholic beverages	pseudo leaf
clear apple juice	fruit juice	pseudo leaf
bell minced meatballs	ground meat	pseudo leaf
chickpea flour	flour	pseudo leaf
frozen green pea	tea coffee	pseudo leaf
early potato	tubers	pseudo leaf
romanesco	pork	pseudo leaf
ovomaltine noir chocolate	chocolates	pseudo leaf
other oily saltwater fish	perch similar	pseudo leaf
grissini	mushrooms	pseudo leaf
tapenade	leafy vegetables	pseudo leaf
piadina	tea coffee	pseudo leaf
pearl sugar	food	pseudo leaf
iceberg lettuce	snacks	pseudo leaf
cailler cuisine cocoa powder	chocolates	pseudo leaf
psyllium husks	mushrooms	pseudo leaf
dry sparkling wine	alcoholic beverages	pseudo leaf
nutmeg pumpkin	nut butter	pseudo leaf
guinea fowl meat	meat meat substitute products	pseudo leaf
red grape	berries	pseudo leaf
sesame oil	plant based oils	pseudo leaf
calvados	plant based oils	pseudo leaf
hazelnut spread	bread spreads	pseudo leaf
spelt cake dough	prepared ingredients	pseudo leaf
almond mush	honey	pseudo leaf
cornbread	bread	pseudo leaf
salted cashew nut	spiced nuts	pseudo leaf
tuna	fish seafood	pseudo leaf
white toblerone	chocolates	pseudo leaf
gingerbread dough	prepared ingredients	pseudo leaf
fermented seasonings	fruit vegetables	pseudo leaf
hawaii salt	other white fleshed saltwater fish	pseudo leaf
cotton candy	hard candies	pseudo leaf
beef burger	beef	pseudo leaf
tapioca starch	starch	pseudo leaf
frozen broccoli	mushrooms	pseudo leaf
candied peel	citrus fruit peels	pseudo leaf
vanilla sugar	food	pseudo leaf
wine	liqueur wine	pseudo leaf
plum brandy	cakes	pseudo leaf
medium hot mustard	seasoning	pseudo leaf
gluten free risoni made from lentils and chickpeas	cookies	pseudo leaf
grape leaf in salt water	flavors	pseudo leaf
puffed amaranth	cookies	pseudo leaf
dried white beans	dried fruits	pseudo leaf
cod	fish seafood	pseudo leaf
strawberry jelly	jams jellies	pseudo leaf
ice cream cone	ice cream sorbet	pseudo leaf
emmi gala cheese	leafy vegetables	pseudo leaf
maizena	berries	pseudo leaf
peach syrup	honey	pseudo leaf
nettle leaves	leafy vegetables	pseudo leaf
cola drink	soft drinks	pseudo leaf
alfalfa arugula sprouts	sprouts seedlings	pseudo leaf
seedless grape	berries	pseudo leaf
sour cherry	sour dairy products	pseudo leaf
34 fat quark	yogurts quarks	pseudo leaf
sweet and sour sauce	basic sauces	pseudo leaf
blood orange juice	fruit juice	pseudo leaf
apple cider vinegar	herbs spices	pseudo leaf
juniper berry	berries	pseudo leaf
mixed bell peppers	chili peppers	pseudo leaf
soft cheese	food	pseudo leaf
lamb loin	lamb meat	pseudo leaf
milk chocolate	milk	pseudo leaf
rye wholemeal flour	flour	pseudo leaf
crunchy roll dough	prepared ingredients	pseudo leaf
emmental	flour	pseudo leaf
candied sugar	food	pseudo leaf
nail powder	instant powders	pseudo leaf
marinated feta with garlic	marinated meat	pseudo leaf
wasabi paste	tea coffee	pseudo leaf
cornelian cherry	cookies	pseudo leaf
other snacks	food	pseudo leaf
plant based meat alternatives	food	pseudo leaf
galangal	plant based oils	pseudo leaf
tomato puree	berries	pseudo leaf
sherry vinegar	herbs spices	pseudo leaf
fresh dill	herbs spices	pseudo leaf
summer truffle	flour	pseudo leaf
sweet potato chips	chips	pseudo leaf
strawberry ice cream	ice cream sorbet	pseudo leaf
mustard	flowers blossoms	pseudo leaf
papaya	cream cheese	pseudo leaf
apple jelly	jams jellies	pseudo leaf
vintners bread	bread spreads	pseudo leaf
grilled cheese	hard cheese	pseudo leaf
sea bass	water ice	pseudo leaf
gluten free butter cookies	flour	pseudo leaf
truffle oil	plant based oils	pseudo leaf
boiled potatoes	tubers	pseudo leaf
peach	berries	pseudo leaf
tofu with provence herbs	basic sauces	pseudo leaf
sweetened condensed milk	cookies	pseudo leaf
gelatin	food	pseudo leaf
salt	salts	pseudo leaf
curd	mushrooms	pseudo leaf
peach jam	jams jellies	pseudo leaf
coconut cream	ice cream sorbet	pseudo leaf
potato flakes	breakfast flakes	pseudo leaf
vegetable mix	cabbage	pseudo leaf
falafel	plant based oils	pseudo leaf
ice cubes	food	beef bouillon cubes
blackberry sorbet	berries	pseudo leaf
lychee	leafy vegetables	pseudo leaf
soft drink concentrates	fruit concentrates	pseudo leaf
tropical fruits	food	pseudo leaf
zwieback	cookies	pseudo leaf
nuts seeds	processed nuts seeds	pseudo leaf
coffee chocolate	cooking chocolate	pseudo leaf
