Query	Parent	Child
celery_greens	milk@@@484	leaf
salmon_trout	food@@@938	leaf
white_mushroom	food@@@938	leaf
baking_decorations	chocolates@@@1026	leaf
elderflower_umbel	flour@@@1904	leaf
mozzarella_stick	food@@@938	leaf
muffin_baking_mix	chocolates@@@1026	leaf
smoked_raclette_cheese	spirits@@@1322	leaf
sour_gummy_candy	food@@@938	leaf
lambs_lettuce	fruit juice@@@359	lemon juice@@@1479
fondants_icing	nuts seeds@@@1966	leaf
albeli	plant based meat alternatives@@@1597	leaf
caramel_liqueur	food@@@938	leaf
cake_decorating_pen	plant based meat alternatives@@@1597	leaf
sweet_potato	herbs spices@@@610	leaf
lemongrass	fresh herbs@@@1637	leaf
frozen_spinach	plant based meat alternatives@@@1597	leaf
cheese_skewers	food@@@938	leaf
cream	spirits@@@1322	leaf
okra	leavening agent@@@140	leaf
sweet_chili_sauce	chocolates@@@1026	leaf
stone_fruits	food@@@938	leaf
fennel	leafy vegetables@@@667	leaf
canned_mushrooms_marinated_in_oil	alcoholic beverages@@@1642	leaf
cacao_nibs	food@@@938	leaf
pea_sprouts	ice cubes@@@1898	leaf
grischuna_minipic	fruit vegetables@@@1536	leaf
greek_yogurt_with_honey	food@@@938	leaf
beer	semolina similar@@@971	leaf
corn_fed_chicken_breast	semolina similar@@@971	leaf
apple_wine	starch@@@753	leaf
licorice_root	food@@@938	leaf
mettwurst	thickening agent@@@1373	leaf
whole_grain_pasta	food@@@938	leaf
vanilla_flavor	food@@@938	leaf
veal_cutlets_from_the_nut	vegetables@@@1409	leaf
almond_cookies	food@@@938	leaf
goose_meat	ice cubes@@@1898	leaf
beer_radish	food@@@938	leaf
fresh_parsley	food@@@938	leaf
thai_jasmine_rice	plant based meat alternatives@@@1597	leaf
sugar	fruit juice@@@359	lemon juice@@@1479
dlicorn_minced	plant based meat alternatives@@@1597	leaf
frozen_pomme_duchesse	game@@@1009	leaf
red_leaf_lettuce	fruit vegetables@@@1536	leaf
herb_mustard	food@@@938	leaf
veal_liver	food@@@938	leaf
brook_trout	food@@@938	leaf
amaretti	food@@@938	leaf
frozen_berry_mix	hard cheese@@@371	leaf
cream_quark	fruit juice@@@359	lemon juice@@@1479
gin	fruit juice@@@359	lemon juice@@@1479
apricot_ice_cream	food@@@938	leaf
flatfish	plant based meat alternatives@@@1597	leaf
chia_seeds	plant based meat alternatives@@@1597	leaf
veal_sausage	semi hard cheese@@@1732	leaf
azuki_bean_paste	plant based meat alternatives@@@1597	leaf
heart_cherry	desserts@@@1219	leaf
colored_fondant	plant based meat alternatives@@@1597	leaf
garlic_clove	plant based meat alternatives@@@1597	leaf
nut_seed_mixes	food@@@938	leaf
dry_vermouth	food@@@938	leaf
strawberry_jam	soft drinks@@@599	leaf
creole_rice	desserts@@@1219	leaf
chili_raclette_cheese	food@@@938	leaf
veal_feet	food@@@938	leaf
wild_broth	food@@@938	leaf
ham	leavening agent@@@140	leaf
beef_sirloin_steak	thickening agent@@@1373	leaf
coop_jam_sugar	plant based meat alternatives@@@1597	leaf
poppy	fruit juice@@@359	lemon juice@@@1479
pickled_pepper	ice cubes@@@1898	leaf
fleur_de_sel	processed meat products@@@151	leaf
lumpfish_roe	fruit juice@@@359	lemon juice@@@1479
fruit_liqueur	game@@@1009	leaf
kernel_roll	food@@@938	leaf
dried_rosemary	food@@@938	leaf
black_lentils_from_the_can	chocolates@@@1026	leaf
guetzli	thickening agent@@@1373	leaf
t_bone_steak	cold cuts@@@1596	leaf
flaxseed	plant based oils@@@1469	leaf
betty_bossi_shanghai_asian_wok_mix	fruit juice@@@359	lemon juice@@@1479
green_tabasco	spirits@@@1322	leaf
dark_bread	chocolates@@@1026	leaf
fondue_cheese_mix_moiti_moiti	hard cheese@@@371	leaf
floury_boiled_potatoes	food@@@938	leaf
plum_yogurt	food@@@938	leaf
passion_fruit_juice	desserts@@@1219	leaf
