Query	Parent	Child
celery greens	leafy vegetables	pseudo leaf
salmon trout	products from fish seafood	pseudo leaf
white mushroom	mushrooms	pseudo leaf
baking decorations	food	brownie baking mix
elderflower umbel	seasoning	pseudo leaf
mozzarella stick	dry pasta	pseudo leaf
muffin baking mix	baking mix	pseudo leaf
smoked raclette cheese	flavored cheese varieties	pseudo leaf
sour gummy candy	sour candy	pseudo leaf
lambs lettuce	lamb meat	pseudo leaf
fondants icing	seasoning	pseudo leaf
albeli	cabbage	pseudo leaf
caramel liqueur	liqueur	pseudo leaf
cake decorating pen	other processed foods	pseudo leaf
sweet potato	potato chips	pseudo leaf
lemongrass	leafy vegetables	pseudo leaf
frozen spinach	plant based milk product alternatives	pseudo leaf
cheese skewers	semi hard cheese	pseudo leaf
cream	ice cream sorbet	pseudo leaf
okra	cereal	pseudo leaf
sweet chili sauce	basic sauces	pseudo leaf
stone fruits	dried fruits	pseudo leaf
fennel	game	pseudo leaf
canned mushrooms marinated in oil	canned vegetables	pseudo leaf
cacao nibs	fruit vegetables	pseudo leaf
pea sprouts	sprouts seedlings	pseudo leaf
grischuna minipic	meat meat substitute products	pseudo leaf
greek yogurt with honey	yogurts quarks	pseudo leaf
beer	non alcoholic beer	pseudo leaf
corn fed chicken breast	chicken meat	pseudo leaf
apple wine	non alcoholic beverages	pseudo leaf
licorice root	root vegetables	pseudo leaf
mettwurst	blue cheese	pseudo leaf
whole grain pasta	dry pasta	pseudo leaf
vanilla flavor	flavors	pseudo leaf
veal cutlets from the nut	offal	pseudo leaf
almond cookies	cookies	pseudo leaf
goose meat	meat meat substitute products	pseudo leaf
beer radish	non alcoholic beer	pseudo leaf
fresh parsley	herbs spices	pseudo leaf
thai jasmine rice	rice	pseudo leaf
sugar	food	cane sugar
dlicorn minced	meat meat substitute products	pseudo leaf
frozen pomme duchesse	chocolates	pseudo leaf
red leaf lettuce	leafy vegetables	pseudo leaf
herb mustard	seasoning	pseudo leaf
veal liver	veal	pseudo leaf
brook trout	trout	pseudo leaf
amaretti	dry pasta	pseudo leaf
frozen berry mix	citrus fruits	pseudo leaf
cream quark	yogurts quarks	pseudo leaf
gin	spirits	pseudo leaf
apricot ice cream	ice cream sorbet	pseudo leaf
flatfish	fish seafood	pseudo leaf
chia seeds	seeds	pseudo leaf
veal sausage	veal	pseudo leaf
azuki bean paste	fruit compotes pastes	pseudo leaf
heart cherry	citrus fruits	pseudo leaf
colored fondant	semolina similar	pseudo leaf
garlic clove	garlic	pseudo leaf
nut seed mixes	nut butter	pseudo leaf
dry vermouth	dry pasta	pseudo leaf
strawberry jam	spreads jams	pseudo leaf
creole rice	rice	pseudo leaf
chili raclette cheese	flavored cheese varieties	pseudo leaf
veal feet	veal	pseudo leaf
wild broth	broths	pseudo leaf
ham	meat meat substitute products	pseudo leaf
beef sirloin steak	beef	pseudo leaf
coop jam sugar	nut butter	pseudo leaf
poppy	fruit vegetables	pseudo leaf
pickled pepper	pickles	pseudo leaf
fleur de sel	cream cheese	pseudo leaf
lumpfish roe	products from fish seafood	pseudo leaf
fruit liqueur	liqueur	pseudo leaf
kernel roll	breakfast flakes	pseudo leaf
dried rosemary	dried herbs	pseudo leaf
black lentils from the can	fruit vegetables	pseudo leaf
guetzli	cabbage	pseudo leaf
t bone steak	pork	pseudo leaf
flaxseed	cereal	pseudo leaf
betty bossi shanghai asian wok mix	asian pasta	pseudo leaf
green tabasco	leafy vegetables	pseudo leaf
dark bread	bread	pseudo leaf
fondue cheese mix moiti moiti	flavored cheese varieties	pseudo leaf
floury boiled potatoes	leafy vegetables	pseudo leaf
plum yogurt	yogurts quarks	pseudo leaf
passion fruit juice	fruit juice	pseudo leaf
non alcoholic beer apple wine	beer apple wine	pseudo leaf
clear apple juice	fruit juice	pseudo leaf
bell minced meatballs	meatballs	pseudo leaf
chickpea flour	flour	pseudo leaf
frozen green pea	legumes	pseudo leaf
early potato	cabbage	pseudo leaf
romanesco	blue cheese	pseudo leaf
ovomaltine noir chocolate	chocolates	pseudo leaf
other oily saltwater fish	fish seafood	pseudo leaf
grissini	cabbage	pseudo leaf
tapenade	leafy vegetables	pseudo leaf
piadina	cream cheese	pseudo leaf
pearl sugar	sugar alternatives	pseudo leaf
iceberg lettuce	seasoning	pseudo leaf
cailler cuisine cocoa powder	broth powder cubes	pseudo leaf
psyllium husks	cereal	pseudo leaf
dry sparkling wine	non alcoholic sparkling wine	pseudo leaf
nutmeg pumpkin	nut butter	pseudo leaf
guinea fowl meat	meat meat substitute products	pseudo leaf
red grape	grape	pseudo leaf
sesame oil	plant based oils	pseudo leaf
calvados	leafy vegetables	pseudo leaf
hazelnut spread	nut butter	pseudo leaf
spelt cake dough	cake dough	pseudo leaf
almond mush	almond	pseudo leaf
cornbread	crispbreads	pseudo leaf
salted cashew nut	spiced nuts	pseudo leaf
tuna	products from fish seafood	pseudo leaf
white toblerone	chocolates	pseudo leaf
gingerbread dough	crispbreads	pseudo leaf
fermented seasonings	seasoning	pseudo leaf
hawaii salt	salts	pseudo leaf
cotton candy	soft candies	pseudo leaf
beef burger	beef	pseudo leaf
tapioca starch	starch	pseudo leaf
frozen broccoli	broths	pseudo leaf
candied peel	citrus fruit peels	pseudo leaf
vanilla sugar	sugar alternatives	pseudo leaf
wine	alcoholic beverages	madeira wine
plum brandy	brandy	pseudo leaf
medium hot mustard	seasoning	pseudo leaf
gluten free risoni made from lentils and chickpeas	dry pasta	pseudo leaf
grape leaf in salt water	leafy vegetables	pseudo leaf
puffed amaranth	flour	pseudo leaf
dried white beans	dried vegetables	pseudo leaf
cod	fish seafood	cod fillet
strawberry jelly	jams jellies	pseudo leaf
ice cream cone	ice cream sorbet	pseudo leaf
emmi gala cheese	semi hard cheese	pseudo leaf
maizena	cereal	pseudo leaf
peach syrup	syrup	pseudo leaf
nettle leaves	leafy vegetables	pseudo leaf
cola drink	tea coffee	pseudo leaf
alfalfa arugula sprouts	sprouts seedlings	pseudo leaf
seedless grape	grape	pseudo leaf
sour cherry	citrus fruits	pseudo leaf
34 fat quark	yogurts quarks	pseudo leaf
sweet and sour sauce	basic sauces	pseudo leaf
blood orange juice	fruit juice	pseudo leaf
apple cider vinegar	fruit vinegar	pseudo leaf
juniper berry	berries	pseudo leaf
mixed bell peppers	mixed vegetables	pseudo leaf
soft cheese	hard cheese	pseudo leaf
lamb loin	lamb meat	pseudo leaf
milk chocolate	chocolates	pseudo leaf
rye wholemeal flour	flour	pseudo leaf
crunchy roll dough	roll	pseudo leaf
emmental	semi hard cheese	pseudo leaf
candied sugar	sugar alternatives	pseudo leaf
nail powder	herbs spices	pseudo leaf
marinated feta with garlic	marinated meat	pseudo leaf
wasabi paste	fruit compotes pastes	pseudo leaf
cornelian cherry	citrus fruits	pseudo leaf
other snacks	snacks	saitaku nori snack
plant based meat alternatives	meat meat substitute products	pseudo leaf
galangal	spirits	pseudo leaf
tomato puree	fruit vegetables	pseudo leaf
sherry vinegar	vinegar	pseudo leaf
fresh dill	fresh pasta	pseudo leaf
summer truffle	meat meat substitute products	pseudo leaf
sweet potato chips	potato chips	pseudo leaf
strawberry ice cream	ice cream sorbet	pseudo leaf
mustard	seasoning	pseudo leaf
papaya	citrus fruits	pseudo leaf
apple jelly	nut butter	pseudo leaf
vintners bread	bread	pseudo leaf
grilled cheese	flavored cheese varieties	pseudo leaf
sea bass	products from fish seafood	pseudo leaf
gluten free butter cookies	cookies	pseudo leaf
truffle oil	plant based oils	pseudo leaf
boiled potatoes	cabbage	pseudo leaf
peach	other fruits	pseudo leaf
tofu with provence herbs	seasoning	pseudo leaf
sweetened condensed milk	milk	pseudo leaf
gelatin	food	pseudo leaf
salt	salts	pseudo leaf
curd	spreads jams	lemon curd
peach jam	spreads jams	pseudo leaf
coconut cream	ice cream sorbet	pseudo leaf
potato flakes	breakfast flakes	pseudo leaf
vegetable mix	fruit vegetables	pseudo leaf
falafel	blue cheese	pseudo leaf
ice cubes	broth powder cubes	pseudo leaf
blackberry sorbet	seasoning	pseudo leaf
lychee	fruit vegetables	pseudo leaf
soft drink concentrates	soft drinks	pseudo leaf
tropical fruits	food	red skinned apple
zwieback	cabbage	pseudo leaf
nuts seeds	seeds	pseudo leaf
coffee chocolate	tea coffee	pseudo leaf
