Query	Parent	Child
patient_identification_systems	cranial nerve injuries@@@9277	facial nerve injuries@@@5146
skin_absorption	root	leaf
cobalt_isotopes	fetal diseases@@@6149	fetal nutrition disorders@@@8001
health_impact_assessment	leishmania major@@@1577	leaf
continuity_of_patient_care	health care activity@@@1023	leaf
transportation	intraoperative complications@@@7668	blood loss , surgical@@@5234
physicians_'_offices	cranial nerve injuries@@@9277	facial nerve injuries@@@5146
asthma_,_occupational	pubmed@@@1430	leaf
social_skills	type b personality@@@7302	leaf
combat_disorders	leishmania major@@@1577	leaf
dictionary_,_dental	fetal diseases@@@6149	fetal nutrition disorders@@@8001
pulmonary_valve	clinical laboratory techniques@@@9479	blood chemical analysis@@@4865
acidosis_,_renal_tubular	nursing research@@@5821	nursing education research@@@8760
lens_,_crystalline	eye proteins@@@6587	leaf
ventricular_function_,_right	nursing research@@@5821	nursing education research@@@8760
arthroplasty_,_replacement_,_shoulder	fetal diseases@@@6149	fetal nutrition disorders@@@8001
synovial_cyst	nursing research@@@5821	nursing education research@@@8760
health_planning_support	cranial nerve injuries@@@9277	facial nerve injuries@@@5146
portion_size	fetal diseases@@@6149	fetal nutrition disorders@@@8001
ferm_domains	intraoperative complications@@@7668	blood loss , surgical@@@5234
crack_cocaine	leishmania major@@@1577	leaf
epidemiological_monitoring	appendix@@@2707	leaf
meningitis_,_viral	leishmania major@@@1577	leaf
online_social_networking	ferm domains@@@164	leaf
pathology_,_veterinary	ventricular outflow obstruction@@@5785	pulmonary valve stenosis@@@4797
account_book	appendix@@@2707	leaf
pneumonia_,_pneumococcal	leishmania major@@@1577	leaf
vascular_diseases	molecular sequence data@@@9575	carbohydrate sequence@@@7028
dermatitis_,_allergic_contact	leishmania major@@@1577	leaf
diabetes_mellitus_,_type_2	root	leaf
social_marketing	social determinants of health@@@8138	leaf
health_records_,_personal	cranial nerve injuries@@@9277	facial nerve injuries@@@5146
education_,_medical_,_continuing	cranial nerve injuries@@@9277	optic nerve injuries@@@7911
nervous_system_autoimmune_disease_,_experimental	leishmania major@@@1577	leaf
