Query	Parent	Child
aorta , abdominal	arteries	aorta , thoracic
factor ix	factor x	pseudo leaf
physical and rehabilitation medicine	medicine	pseudo leaf
mesenchymal stem cells	adult stem cells	pseudo leaf
ethics , nursing	ethics , clinical	ethics , medical
fibroblast growth factor 8	angiogenic proteins	pseudo leaf
adrenal cortex	endocrine system	adrenal medulla
bone matrix	organism	pseudo leaf
clinical protocols	diagnostic techniques and procedures	pseudo leaf
retrospective studies	epidemiologic study characteristics	pseudo leaf
dna	base sequence	pseudo leaf
fibroblast growth factors	angiogenic proteins	pseudo leaf
insurance , nursing services	insurance , health	insurance , physician services
genes , chloroplast	genes	pseudo leaf
color	time	pseudo leaf
electrophoresis , paper	electrophoresis , polyacrylamide gel	native polyacrylamide gel electrophoresis
hospitals , urban	hospitals , public	pseudo leaf
period circadian proteins	transcription factors	pseudo leaf
liposomes	insect hormones	pseudo leaf
drug resistance , bacterial	drug resistance , microbial	tetracycline resistance
handling , psychological	physical conditioning , human	pseudo leaf
medicare	medical assistance	medicare part c
culture media	diagnostic uses of chemicals	pseudo leaf
israel	middle east	pseudo leaf
social skills	social control , informal	pseudo leaf
operative time	severity of illness index	pseudo leaf
international system of units	models , theoretical	pseudo leaf
burns , electric	electric injuries	pseudo leaf
veterinary drugs	technology , pharmaceutical	pseudo leaf
resistance training	physical conditioning , human	pseudo leaf
touch perception	pattern recognition , physiological	pseudo leaf
parasitic diseases , animal	infections	pseudo leaf
wrist injuries	leg injuries	pseudo leaf
posterior thalamic nuclei	thalamic nuclei	anterior thalamic nuclei
perioperative medicine	clinical medicine	pseudo leaf
core binding factor alpha 2 subunit	core binding factors	pseudo leaf
recombination , genetic	gene rearrangement	pseudo leaf
fast foods	foods , specialized	pseudo leaf
pulse wave analysis	blood pressure determination	pseudo leaf
drug combinations	physiological effects of drugs	pseudo leaf
polar bodies	cells	pseudo leaf
adult survivors of child abuse	survivors	pseudo leaf
mentally disabled persons	disabled persons	pseudo leaf
secretory component	peptides	pseudo leaf
transplantation , autologous	tissue transplantation	pseudo leaf
classical article	publication formats	pseudo leaf
language arts	language	pseudo leaf
income	costs and cost analysis	pseudo leaf
body fluid compartments	fluids and secretions	pseudo leaf
consciousness monitors	pseudo root	pseudo leaf
ectopic gene expression	gene expression regulation , neoplastic	pseudo leaf
duodenal obstruction	respiratory tract diseases	pseudo leaf
human growth hormone	pituitary hormones , posterior	pseudo leaf
retinal pigment epithelium	heart septum	pseudo leaf
gray literature	publications	pseudo leaf
ribosome subunits , large , bacterial	ribosome subunits , small	pseudo leaf
child reactive disorders	pseudo root	pseudo leaf
lipid droplets	subcellular fractions	pseudo leaf
cerebellar ataxia	central nervous system diseases	pseudo leaf
gene expression regulation	gene expression regulation , neoplastic	pseudo leaf
femur head	femur	femur neck
liver diseases	digestive system diseases	hepatic insufficiency
polymorphism , restriction fragment length	genomic structural variation	pseudo leaf
receptors , estradiol	receptors , cytoplasmic and nuclear	pseudo leaf
reagent strips	technology , pharmaceutical	pseudo leaf
islands	atlantic islands	pseudo leaf
manifest anxiety scale	personality tests	pseudo leaf
receptors , death domain	transcription factors	pseudo leaf
adrenal cortex diseases	endocrine system diseases	adrenal insufficiency
data collection	information science	pseudo leaf
extremities	body regions	pseudo leaf
prosthesis fitting	surgical fixation devices	pseudo leaf
stromal interaction molecule 2	pseudo root	pseudo leaf
practice patterns , physicians '	informed consent	pseudo leaf
cranial nerve diseases	nervous system diseases	pseudo leaf
litter size	morbidity	pseudo leaf
strategic planning	diffusion of innovation	pseudo leaf
epidemiological monitoring	health surveys	pseudo leaf
platelet membrane glycoprotein iib	receptors , cytoplasmic and nuclear	pseudo leaf
maternal welfare	social welfare	infant welfare
biomedical enhancement	diagnostic services	pseudo leaf
corneal stroma	anterior chamber	pseudo leaf
accidents , home	accidents	pseudo leaf
leukemia , myeloid , acute	leukemia virus , murine	pseudo leaf
uterine cervical dysplasia	uterine cervical diseases	pseudo leaf
ireland	europe	pseudo leaf
immunoglobulin domains	protein domains	pseudo leaf
core binding factor alpha 1 subunit	core binding factors	pseudo leaf
tomography , optical	microscopy , electron	microscopy , electron , transmission
food safety	food contamination	pseudo leaf
antiretroviral therapy , highly active	biological therapy	pseudo leaf
united states government agencies	world health organization	pseudo leaf
epidural neoplasms	central nervous system neoplasms	pseudo leaf
aortic arch syndromes	aortic diseases	vascular ring
ribosome subunits , small , bacterial	ribosome subunits	pseudo leaf
heat exhaustion	heat stress disorders	heat stroke
public policy	policy	pseudo leaf
group structure	occupations	pseudo leaf
small business	marketing	pseudo leaf
nuclear reactors	biomedical and dental materials	pseudo leaf
cytoskeleton	extracellular vesicles	pseudo leaf
beer	beverages	pseudo leaf
carcinoma , transitional cell	abdominal neoplasms	pseudo leaf
protective clothing	transportation facilities	pseudo leaf
foundations	regional health planning	pseudo leaf
health planning support	financial management	financial management , hospital
arabia	middle east	pseudo leaf
dental plaque	dental equipment	pseudo leaf
child language	orientation	pseudo leaf
form perception	pattern recognition , physiological	pseudo leaf
cell respiration	cell physiological phenomena	pseudo leaf
metals , alkali	metals	metals , alkaline earth
body remains	organism attribute	pseudo leaf
capillary leak syndrome	shock	pseudo leaf
miller fisher syndrome	pseudo root	pseudo leaf
gaba agonists	molecular mechanisms of pharmacological action	chloride channel agonists
death domain superfamily	intracellular signaling peptides and proteins	pseudo leaf
collection	vocabulary , controlled	pseudo leaf
rehabilitation centers	ambulatory care facilities	pseudo leaf
psychology , applied	psychological phenomena	pseudo leaf
dental prosthesis design	dentistry	technology , dental
rna , fungal	rna	rna , viral
historical article	publishing	pseudo leaf
eating	nutritional physiological phenomena	pseudo leaf
dental clinics	dental facilities	pseudo leaf
pain , intractable	pain	pseudo leaf
skull	face	pseudo leaf
carrier state	disease transmission , infectious	pseudo leaf
hypertension , pulmonary	hypertension	pseudo leaf
adoption	human rights	pseudo leaf
surrogate mothers	persons	pseudo leaf
plasmids	amino acid sequence	pseudo leaf
chromosomes , human , y	x chromosome	chromosomes , human , x
medical savings accounts	insurance	pseudo leaf
rna , mitochondrial	rna	pseudo leaf
measles vaccine	viral hepatitis vaccines	pseudo leaf
surgical clearance	diagnostic services	pseudo leaf
truth disclosure	ethics	pseudo leaf
thymic factor , circulating	membrane glycoproteins	pseudo leaf
patient transfer	delivery of health care	pseudo leaf
egg proteins , dietary	dietary proteins	pseudo leaf
abdominal fat	subcutaneous fat	subcutaneous fat , abdominal
wnt proteins	intracellular signaling peptides and proteins	pseudo leaf
nucleotides , cyclic	nucleotides	cyclic amp
bodily secretions	carrier proteins	pseudo leaf
receptors , peptide	receptors , cell surface	pseudo leaf
phagocytosis	physiological phenomena	pseudo leaf
lakes	geological phenomena	pseudo leaf
legislation , hospital	legislation as topic	international health regulations
judgment	thinking	pseudo leaf
global health	population characteristics	pseudo leaf
intraocular lymphoma	thoracic neoplasms	pseudo leaf
hospital bed capacity , 100 to 299	hospital units	pseudo leaf
blood sedimentation	clinical laboratory techniques	pseudo leaf
cerebral arterial diseases	intracranial arterial diseases	pseudo leaf
observational study	clinical study	pseudo leaf
occupational health nursing	patient care	pseudo leaf
lung diseases , parasitic	intestinal diseases	pseudo leaf
reverse transcriptase polymerase chain reaction	gene silencing	pseudo leaf
sensory thresholds	nervous system physiological phenomena	pseudo leaf
retirement	employment	pseudo leaf
anatomy , veterinary	developmental biology	pseudo leaf
adaptor protein complex 1	adaptor proteins , vesicular transport	adaptor protein complex 2
economics , pharmaceutical	economics , hospital	hospital charges
ventricular function , right	cardiovascular physiological phenomena	ventricular function
pregnancy complications , cardiovascular	pregnancy complications	pseudo leaf
tool use behavior	pseudo root	pseudo leaf
colony count , microbial	clinical laboratory techniques	pseudo leaf
sensation disorders	neurologic manifestations	pseudo leaf
accessory nerve injuries	cranial nerve injuries	pseudo leaf
advanced cardiac life support	therapeutics	pseudo leaf
delivery rooms	intensive care units , pediatric	pseudo leaf
embryo disposition	pregnancy , animal	pseudo leaf
treatment outcome	diagnostic techniques and procedures	pseudo leaf
fees , pharmaceutical	financial support	research support as topic
dietary fiber	fruit proteins	pseudo leaf
absorption , radiation	chemical phenomena	pseudo leaf
myocardium	fetus	pseudo leaf
work capacity evaluation	models , nursing	pseudo leaf
kidney tubules , collecting	kidney	pseudo leaf
complement factor d	complement system proteins	pseudo leaf
pregnancy , ovarian	menstrual cycle	pseudo leaf
bone neoplasms	skull neoplasms	pseudo leaf
library administration	library science	library surveys
solute carrier family 22 member 5	atp binding cassette transporter , subfamily a	pseudo leaf
creatine kinase , mitochondrial form	creatine kinase	pseudo leaf
cell membrane structures	blood coagulation factor inhibitors	pseudo leaf
organic anion transport protein 1	amino acid transport systems , neutral	pseudo leaf
aortic valve insufficiency	heart valve diseases	aortic valve stenosis
psychology , sports	behavioral sciences	pseudo leaf
glasgow coma scale	psychiatric status rating scales	pseudo leaf
air filters	smoking devices	pseudo leaf
pathology , oral	dentistry	pseudo leaf
brain tissue transplantation	tissue transplantation	pseudo leaf
combat disorders	stress disorders , traumatic	pseudo leaf
reproductive rights	social control , formal	pseudo leaf
carcinoma , papillary	carcinoma	pseudo leaf
dental pulp	tooth germ	pseudo leaf
central nervous system fungal infections	central nervous system infections	pseudo leaf
veins	blood vessels	pseudo leaf
taste perception	perception	pseudo leaf
receptor , angiotensin , type 1	receptors , lipoprotein	pseudo leaf
models , immunological	clinical chemistry tests	pseudo leaf
ethics committees	guidelines as topic	pseudo leaf
transportation	rehabilitation	pseudo leaf
students , nursing	students , health occupations	pseudo leaf
lipid accumulation product	pseudo root	pseudo leaf
light signal transduction	signal transduction	pseudo leaf
mitosis modulators	pseudo root	pseudo leaf
bones of upper extremity	arm bones	pseudo leaf
health records , personal	medical records	pseudo leaf
brain injuries	brain hemorrhage , traumatic	pseudo leaf
nuclear export signals	protein sorting signals	pseudo leaf
abdominal cavity	multiple birth offspring	pseudo leaf
organ dysfunction scores	diagnostic techniques and procedures	pseudo leaf
online social networking	publishing	pseudo leaf
copper	metals , heavy	pseudo leaf
reproductive isolation	breeding	pseudo leaf
fuzzy logic	decision making	pseudo leaf
job description	psychology , industrial	pseudo leaf
