Query	Parent	Child
aorta , abdominal	arteries	pseudo leaf
factor ix	blood coagulation factors	pseudo leaf
physical and rehabilitation medicine	medicine	pseudo leaf
mesenchymal stem cells	pseudo root	pseudo leaf
ethics , nursing	nursing	pseudo leaf
fibroblast growth factor 8	pseudo root	pseudo leaf
adrenal cortex	endocrine glands	pseudo leaf
bone matrix	pseudo root	bone and bones
clinical protocols	therapeutics	pseudo leaf
retrospective studies	epidemiologic studies	pseudo leaf
dna	nucleic acids	pseudo leaf
fibroblast growth factors	peptides	fibroblast growth factor 2
insurance , nursing services	insurance , health	pseudo leaf
genes , chloroplast	genes	pseudo leaf
color	space perception	pseudo leaf
electrophoresis , paper	electrophoresis	blotting , southern
hospitals , urban	health facilities	pseudo leaf
period circadian proteins	blood coagulation factor inhibitors	pseudo leaf
liposomes	transport vesicles	pseudo leaf
drug resistance , bacterial	bacterial physiological phenomena	pseudo leaf
handling , psychological	behavior control	pseudo leaf
medicare	social control , formal	medicare part a
culture media	laboratory chemicals	culture media , conditioned
israel	pseudo root	pseudo leaf
social skills	personality development	pseudo leaf
operative time	surgical procedures , operative	perioperative period
international system of units	metric system	pseudo leaf
burns , electric	burns	pseudo leaf
veterinary drugs	pharmaceutical preparations	pseudo leaf
resistance training	exercise movement techniques	pseudo leaf
touch perception	visual perception	pseudo leaf
parasitic diseases , animal	animal diseases	pseudo leaf
wrist injuries	wounds and injuries	pseudo leaf
posterior thalamic nuclei	thalamic nuclei	pseudo leaf
perioperative medicine	medicine	pseudo leaf
core binding factor alpha 2 subunit	core binding factors	pseudo leaf
recombination , genetic	genetic phenomena	pseudo leaf
fast foods	meals	pseudo leaf
pulse wave analysis	spectrum analysis	pseudo leaf
drug combinations	pharmaceutical preparations	pseudo leaf
polar bodies	cells	pseudo leaf
adult survivors of child abuse	survivors	pseudo leaf
mentally disabled persons	disabled persons	pseudo leaf
secretory component	pseudo root	pseudo leaf
transplantation , autologous	tissue transplantation	pseudo leaf
classical article	publication formats	pseudo leaf
language arts	pseudo root	pseudo leaf
income	economics	pseudo leaf
body fluid compartments	body regions	pseudo leaf
consciousness monitors	diagnostic equipment	pseudo leaf
ectopic gene expression	gene expression	pseudo leaf
duodenal obstruction	intestinal diseases	pseudo leaf
human growth hormone	hormones	pseudo leaf
retinal pigment epithelium	epithelium	pseudo leaf
gray literature	literature	pseudo leaf
ribosome subunits , large , bacterial	ribosome subunits	pseudo leaf
child reactive disorders	personality disorders	pseudo leaf
lipid droplets	cytoplasmic structures	pseudo leaf
cerebellar ataxia	ataxia	pseudo leaf
gene expression regulation	genetic phenomena	pseudo leaf
femur head	femur	pseudo leaf
liver diseases	digestive system diseases	liver neoplasms
polymorphism , restriction fragment length	genetic variation	pseudo leaf
receptors , estradiol	receptors , cytokine	pseudo leaf
reagent strips	pseudo root	pseudo leaf
islands	environment	pseudo leaf
manifest anxiety scale	personality inventory	pseudo leaf
receptors , death domain	receptors , cytokine	pseudo leaf
adrenal cortex diseases	adrenal gland diseases	adrenal cortex neoplasms
data collection	information science	focus groups
extremities	body regions	pseudo leaf
prosthesis fitting	surgical procedures , operative	pseudo leaf
stromal interaction molecule 2	blood coagulation factors	pseudo leaf
practice patterns , physicians '	professional practice	pseudo leaf
cranial nerve diseases	nervous system diseases	pseudo leaf
litter size	family characteristics	pseudo leaf
strategic planning	organization and administration	pseudo leaf
epidemiological monitoring	health surveys	public health surveillance
platelet membrane glycoprotein iib	pseudo root	pseudo leaf
maternal welfare	social welfare	pseudo leaf
biomedical enhancement	biomedical technology	pseudo leaf
corneal stroma	anterior eye segment	pseudo leaf
accidents , home	accidents	pseudo leaf
leukemia , myeloid , acute	leukemia	pseudo leaf
uterine cervical dysplasia	uterine cervical diseases	pseudo leaf
ireland	europe	pseudo leaf
immunoglobulin domains	protein domains	pseudo leaf
core binding factor alpha 1 subunit	core binding factors	pseudo leaf
tomography , optical	tomography	pseudo leaf
food safety	safety	hazard analysis and critical control points
antiretroviral therapy , highly active	pseudo root	pseudo leaf
united states government agencies	federal government	pseudo leaf
epidural neoplasms	pseudo root	pseudo leaf
aortic arch syndromes	cardiovascular diseases	pseudo leaf
ribosome subunits , small , bacterial	ribosome subunits , small	pseudo leaf
heat exhaustion	heat stress disorders	pseudo leaf
public policy	politics	pseudo leaf
group structure	organization	pseudo leaf
small business	industry	pseudo leaf
nuclear reactors	radiation equipment and supplies	pseudo leaf
cytoskeleton	cytoplasmic structures	pseudo leaf
beer	alcoholic beverages	pseudo leaf
carcinoma , transitional cell	carcinoma	pseudo leaf
protective clothing	personal protective equipment	pseudo leaf
foundations	health care economics and organizations	pseudo leaf
health planning support	financial support	pseudo leaf
arabia	asia , western	saudi arabia
dental plaque	tooth	pseudo leaf
child language	language	pseudo leaf
form perception	perception	pseudo leaf
cell respiration	cell physiological phenomena	pseudo leaf
metals , alkali	metals	pseudo leaf
body remains	substance	pseudo leaf
capillary leak syndrome	cardiovascular diseases	pseudo leaf
miller fisher syndrome	pseudo root	pseudo leaf
gaba agonists	gaba agents	pseudo leaf
death domain superfamily	protein interaction domains and motifs	death domain
collection	publication formats	pseudo leaf
rehabilitation centers	health facilities	fitness centers
psychology , applied	behavioral sciences	pseudo leaf
dental prosthesis design	technology , dental	pseudo leaf
rna , fungal	fungal proteins	pseudo leaf
historical article	publication formats	pseudo leaf
eating	nutritional physiological phenomena	pseudo leaf
dental clinics	health facilities	pseudo leaf
pain , intractable	pain	pseudo leaf
skull	skeleton	frontal bone
