Query	Parent	Child
aorta , abdominal	cardiovascular system	aorta , thoracic
factor ix	blood coagulation factors	pseudo leaf
physical and rehabilitation medicine	medicine	pseudo leaf
mesenchymal stem cells	pseudo root	pseudo leaf
ethics , nursing	ethics	pseudo leaf
fibroblast growth factor 8	receptors , fibroblast growth factor	pseudo leaf
adrenal cortex	pseudo root	pseudo leaf
bone matrix	bone and bones	pseudo leaf
clinical protocols	epidemiologic study characteristics	clinical trial protocols as topic
retrospective studies	epidemiologic studies	pseudo leaf
dna	nucleic acids	dna , ribosomal
fibroblast growth factors	peptides	fibroblast growth factor 5
insurance , nursing services	insurance benefits	pseudo leaf
genes , chloroplast	genes	pseudo leaf
color	ocular physiological phenomena	eye color
electrophoresis , paper	electrophoresis	pseudo leaf
hospitals , urban	health facilities	pseudo leaf
period circadian proteins	clock proteins	pseudo leaf
liposomes	lipids	pseudo leaf
drug resistance , bacterial	bacterial physiological phenomena	pseudo leaf
handling , psychological	behavior control	pseudo leaf
medicare	social security	pseudo leaf
culture media	pseudo root	pseudo leaf
israel	pseudo root	pseudo leaf
social skills	psychology , social	pseudo leaf
operative time	pseudo root	pseudo leaf
international system of units	pseudo root	pseudo leaf
burns , electric	burns	pseudo leaf
veterinary drugs	pharmaceutical preparations	pseudo leaf
resistance training	exercise movement techniques	pseudo leaf
touch perception	perception	pseudo leaf
parasitic diseases , animal	animal diseases	pseudo leaf
wrist injuries	hand injuries	pseudo leaf
posterior thalamic nuclei	thalamic nuclei	pseudo leaf
perioperative medicine	medicine	pseudo leaf
core binding factor alpha 2 subunit	core binding factors	pseudo leaf
recombination , genetic	transformation , genetic	pseudo leaf
fast foods	meals	pseudo leaf
pulse wave analysis	traditional pulse diagnosis	pseudo leaf
drug combinations	pharmaceutical preparations	pseudo leaf
polar bodies	pseudo root	pseudo leaf
adult survivors of child abuse	survivors	pseudo leaf
mentally disabled persons	disabled persons	pseudo leaf
secretory component	pseudo root	pseudo leaf
transplantation , autologous	transplantation	pseudo leaf
classical article	pseudo root	pseudo leaf
language arts	communication	pseudo leaf
income	economics	capital expenditures
body fluid compartments	extracellular space	pseudo leaf
consciousness monitors	pseudo root	pseudo leaf
ectopic gene expression	gene expression	pseudo leaf
duodenal obstruction	pseudo root	pseudo leaf
human growth hormone	pseudo root	pseudo leaf
retinal pigment epithelium	pseudo root	pseudo leaf
gray literature	literature	pseudo leaf
ribosome subunits , large , bacterial	rna , ribosomal	pseudo leaf
child reactive disorders	personality disorders	pseudo leaf
lipid droplets	lipids	pseudo leaf
cerebellar ataxia	ataxia	pseudo leaf
gene expression regulation	gene expression	pseudo leaf
femur head	femur	pseudo leaf
liver diseases	digestive system diseases	liver cirrhosis
polymorphism , restriction fragment length	polymorphism , genetic	pseudo leaf
receptors , estradiol	receptors , cytoplasmic and nuclear	pseudo leaf
reagent strips	pseudo root	pseudo leaf
islands	geographic locations	channel islands
manifest anxiety scale	test anxiety scale	pseudo leaf
receptors , death domain	receptors , cell surface	pseudo leaf
adrenal cortex diseases	central nervous system diseases	pseudo leaf
data collection	data science	pseudo leaf
extremities	body regions	foot
prosthesis fitting	prosthesis implantation	pseudo leaf
stromal interaction molecule 2	pseudo root	pseudo leaf
practice patterns , physicians '	health behavior	pseudo leaf
cranial nerve diseases	nervous system diseases	olfactory nerve diseases
litter size	body size	pseudo leaf
strategic planning	organization and administration	pseudo leaf
epidemiological monitoring	public health surveillance	pseudo leaf
platelet membrane glycoprotein iib	membrane glycoproteins	pseudo leaf
maternal welfare	social welfare	pseudo leaf
biomedical enhancement	biomedical technology	pseudo leaf
corneal stroma	cornea	pseudo leaf
accidents , home	disasters	pseudo leaf
leukemia , myeloid , acute	pseudo root	pseudo leaf
uterine cervical dysplasia	uterine cervical diseases	pseudo leaf
ireland	northern ireland	pseudo leaf
immunoglobulin domains	protein domains	pseudo leaf
core binding factor alpha 1 subunit	core binding factors	pseudo leaf
tomography , optical	tomography	electron microscope tomography
food safety	food quality	pseudo leaf
antiretroviral therapy , highly active	drug therapy	pseudo leaf
united states government agencies	government agencies	pseudo leaf
epidural neoplasms	spinal cord neoplasms	pseudo leaf
aortic arch syndromes	aortic diseases	pseudo leaf
ribosome subunits , small , bacterial	ribosomal proteins	pseudo leaf
heat exhaustion	heat stress disorders	heat stroke
public policy	social control , formal	pseudo leaf
group structure	group processes	pseudo leaf
small business	industry	pseudo leaf
nuclear reactors	weapons	pseudo leaf
cytoskeleton	cytoplasmic structures	pseudo leaf
beer	alcoholic beverages	pseudo leaf
carcinoma , transitional cell	carcinoma	pseudo leaf
protective clothing	personal protective equipment	pseudo leaf
foundations	health care economics and organizations	pseudo leaf
health planning support	health planning	pseudo leaf
arabia	asia , western	saudi arabia
dental plaque	dental deposits	pseudo leaf
child language	linguistics	pseudo leaf
form perception	perception	pseudo leaf
cell respiration	energy metabolism	pseudo leaf
metals , alkali	metals	pseudo leaf
body remains	physical appearance , body	pseudo leaf
capillary leak syndrome	peripheral vascular diseases	pseudo leaf
miller fisher syndrome	pseudo root	pseudo leaf
gaba agonists	gaba agents	pseudo leaf
death domain superfamily	pseudo root	pseudo leaf
collection	pseudo root	pseudo leaf
rehabilitation centers	health facilities	pseudo leaf
psychology , applied	behavioral sciences	pseudo leaf
dental prosthesis design	prosthesis design	pseudo leaf
rna , fungal	rna	pseudo leaf
historical article	pseudo root	pseudo leaf
eating	diet	fasting
dental clinics	dental facilities	pseudo leaf
pain , intractable	pain	pseudo leaf
skull	facial bones	pseudo leaf
carrier state	pseudo root	pseudo leaf
hypertension , pulmonary	hypertension	pseudo leaf
adoption	parenting	pseudo leaf
surrogate mothers	mothers	pseudo leaf
plasmids	bacterial structures	pseudo leaf
chromosomes , human , y	sex chromosomes	y chromosome
medical savings accounts	financial statements	pseudo leaf
rna , mitochondrial	pseudo root	pseudo leaf
measles vaccine	pseudo root	pseudo leaf
surgical clearance	surgical procedures , operative	pseudo leaf
truth disclosure	disclosure	pseudo leaf
thymic factor , circulating	thymus hormones	pseudo leaf
patient transfer	pseudo root	pseudo leaf
egg proteins , dietary	egg proteins	pseudo leaf
abdominal fat	pseudo root	pseudo leaf
wnt proteins	pseudo root	pseudo leaf
nucleotides , cyclic	nucleotides	pseudo leaf
bodily secretions	fluids and secretions	intestinal secretions
receptors , peptide	receptors , cell surface	pseudo leaf
phagocytosis	cell death	apoptosis
lakes	pseudo root	pseudo leaf
legislation , hospital	legislation as topic	pseudo leaf
judgment	mental processes	decision making
global health	pseudo root	pseudo leaf
intraocular lymphoma	lymphoma	pseudo leaf
hospital bed capacity , 100 to 299	capacity building	pseudo leaf
blood sedimentation	blood physiological phenomena	pseudo leaf
cerebral arterial diseases	intracranial arterial diseases	pseudo leaf
observational study	clinical study	pseudo leaf
occupational health nursing	nursing	pseudo leaf
lung diseases , parasitic	respiratory tract infections	pseudo leaf
reverse transcriptase polymerase chain reaction	reverse transcription	pseudo leaf
sensory thresholds	nervous system physiological phenomena	taste threshold
retirement	employment	pseudo leaf
anatomy , veterinary	anatomy	pseudo leaf
adaptor protein complex 1	pseudo root	pseudo leaf
economics , pharmaceutical	economics	pseudo leaf
ventricular function , right	cardiovascular physiological phenomena	pseudo leaf
pregnancy complications , cardiovascular	pregnancy complications	pseudo leaf
tool use behavior	behavior	pseudo leaf
colony count , microbial	microbiological techniques	pseudo leaf
sensation disorders	nervous system diseases	pseudo leaf
accessory nerve injuries	accessory nerve diseases	pseudo leaf
advanced cardiac life support	life support care	pseudo leaf
delivery rooms	hospital units	pseudo leaf
embryo disposition	fertilization	pseudo leaf
treatment outcome	prognosis	treatment failure
fees , pharmaceutical	fees and charges	pseudo leaf
dietary fiber	dietary supplements	pseudo leaf
absorption , radiation	radiation exposure	pseudo leaf
myocardium	pseudo root	pseudo leaf
work capacity evaluation	pseudo root	pseudo leaf
kidney tubules , collecting	kidney tubules	pseudo leaf
complement factor d	pseudo root	pseudo leaf
pregnancy , ovarian	pregnancy complications	pseudo leaf
bone neoplasms	bone diseases	pseudo leaf
library administration	organization and administration	pseudo leaf
solute carrier family 22 member 5	solute carrier proteins	pseudo leaf
creatine kinase , mitochondrial form	creatine kinase	pseudo leaf
cell membrane structures	cell	pseudo leaf
organic anion transport protein 1	organic cation transport proteins	pseudo leaf
aortic valve insufficiency	aortic diseases	pseudo leaf
psychology , sports	behavioral sciences	pseudo leaf
glasgow coma scale	pseudo root	pseudo leaf
air filters	air	pseudo leaf
pathology , oral	dentistry	pseudo leaf
brain tissue transplantation	tissue transplantation	pseudo leaf
combat disorders	mental disorders	pseudo leaf
reproductive rights	human rights	pseudo leaf
carcinoma , papillary	carcinoma	pseudo leaf
dental pulp	tooth components	dental pulp cavity
central nervous system fungal infections	central nervous system diseases	pseudo leaf
veins	blood vessels	pulmonary veins
taste perception	auditory perception	pseudo leaf
receptor , angiotensin , type 1	receptors , cytokine	pseudo leaf
models , immunological	models , theoretical	pseudo leaf
ethics committees	ethics , research	pseudo leaf
transportation	commerce	pseudo leaf
students , nursing	students	pseudo leaf
lipid accumulation product	pseudo root	pseudo leaf
light signal transduction	signal transduction	pseudo leaf
mitosis modulators	blood coagulation factor inhibitors	pseudo leaf
bones of upper extremity	bone and bones	pseudo leaf
health records , personal	records	pseudo leaf
brain injuries	central nervous system diseases	diffuse axonal injury
nuclear export signals	pseudo root	pseudo leaf
abdominal cavity	pseudo root	peritoneal cavity
organ dysfunction scores	pseudo root	pseudo leaf
online social networking	social networking	pseudo leaf
copper	metals , heavy	pseudo leaf
reproductive isolation	reproduction	pseudo leaf
fuzzy logic	artificial intelligence	pseudo leaf
job description	employment	pseudo leaf
base pairing	biochemical phenomena	pseudo leaf
rectal diseases	intestinal diseases	pseudo leaf
psychology	behavioral sciences	pseudo leaf
intercellular signaling peptides and proteins	peptides	pseudo leaf
electronic supplementary materials	publications	pseudo leaf
insurance , disability	insurance , health	pseudo leaf
rna splice sites	rna	pseudo leaf
mars	planets	pseudo leaf
kidneys , artificial	artificial organs	pseudo leaf
dilatation , pathologic	pathologic processes	pseudo leaf
prion diseases	central nervous system diseases	pseudo leaf
hepatitis b core antigens	hepatitis antigens	pseudo leaf
carcinoma , ductal	endocrine gland neoplasms	carcinoma , pancreatic ductal
workplace violence	crime	pseudo leaf
abdominal muscles	muscles	abdominal oblique muscles
skull base	skeleton	pseudo leaf
liver regeneration	regeneration	pseudo leaf
type b personality	personality	pseudo leaf
arthroplasty , replacement , shoulder	arthroplasty	pseudo leaf
forms and records control	organization and administration	pseudo leaf
abortion , legal	pseudo root	pseudo leaf
chief executive officers , hospital	hospital administrators	pseudo leaf
account book	records	pseudo leaf
cataract extraction	pseudo root	pseudo leaf
essay	pseudo root	pseudo leaf
food analysis	food quality	food inspection
heart	cardiovascular system	pseudo leaf
social marketing	marketing	pseudo leaf
data mining	data science	pseudo leaf
olfactory perception	auditory perception	pseudo leaf
popular work	publication formats	pseudo leaf
fractional precipitation	chemical fractionation	pseudo leaf
mutation	genetic variation	pseudo leaf
paper	publication formats	manuscript
hypothalamus , middle	hypothalamus	pseudo leaf
neurological rehabilitation	rehabilitation	pseudo leaf
maximum allowable concentration	occupational exposure	pseudo leaf
postoperative nausea and vomiting	nausea	pseudo leaf
meningitis , pneumococcal	pneumonia	pseudo leaf
combined modality therapy	radiotherapy	pseudo leaf
cardiac surgical procedures	cardiovascular surgical procedures	pseudo leaf
dynamic light scattering	spectrum analysis	pseudo leaf
association learning	association	pseudo leaf
fish proteins , dietary	fish proteins	pseudo leaf
geographic area	pseudo root	pseudo leaf
leishmania major	leishmania	pseudo leaf
paralysis	neurologic manifestations	facial paralysis
united states office of national drug control policy	pseudo root	pseudo leaf
ovarian follicle	ovary	pseudo leaf
stem cells	cells	neoplastic stem cells
genetic fitness	genetic phenomena	pseudo leaf
apnea	respiration disorders	pseudo leaf
brain injuries , traumatic	wounds and injuries	pseudo leaf
prenatal care	maternal health services	pseudo leaf
membranes , artificial	pseudo root	pseudo leaf
taste disorders	mouth diseases	pseudo leaf
interview , psychological	interview	pseudo leaf
adaptation , psychological	human development	pseudo leaf
melanoma	carcinoma	pseudo leaf
pathology , veterinary	veterinary medicine	pseudo leaf
protective devices	personal protective equipment	ear protective devices
receptors , artificial	pseudo root	pseudo leaf
plant viral movement proteins	viral proteins	pseudo leaf
attitude to health	attitude	pseudo leaf
neurotoxicity syndromes	neurologic manifestations	pseudo leaf
lighting	pseudo root	pseudo leaf
social behavior	behavior	social dominance
olfactory pathways	auditory pathways	pseudo leaf
hematologic tests	pseudo root	pseudo leaf
bone density conservation agents	pseudo root	pseudo leaf
thoracic wall	skeleton	pseudo leaf
serine proteinase inhibitors	pseudo root	pseudo leaf
vascular diseases	cardiovascular diseases	vascular malformations
exercise therapy	physical therapy modalities	exercise movement techniques
