Query	Parent	Child
patient_identification_systems	north america@@@6676	washington@@@5185
skin_absorption	root	leaf
cobalt_isotopes	professional practice@@@4033	nursing education research@@@8760
health_impact_assessment	comprehensive health care@@@4907	leaf
continuity_of_patient_care	comprehensive health care@@@4907	leaf
transportation	meaningful use@@@4080	leaf
physicians_'_offices	extreme weather@@@2619	extreme hot weather@@@5277
asthma_,_occupational	occupational diseases@@@6605	leaf
social_skills	personality@@@4554	leaf
combat_disorders	child reactive disorders@@@3469	leaf
dictionary_,_dental	aged@@@4949	frail elderly@@@964
pulmonary_valve	organizations@@@8735	united states government agencies@@@3029
acidosis_,_renal_tubular	consumer organizations@@@446	community participation@@@3985
lens_,_crystalline	eye movements@@@3585	leaf
ventricular_function_,_right	hispanic americans@@@2936	mexican americans@@@6008
arthroplasty_,_replacement_,_shoulder	parents@@@9235	mothers@@@427
synovial_cyst	health occupations@@@8954	nursing education research@@@8760
health_planning_support	fingers@@@1000	thumb@@@2201
portion_size	nurse practitioners@@@2129	family nurse practitioners@@@2257
ferm_domains	professional practice@@@4033	nursing faculty practice@@@7530
crack_cocaine	diagnostic techniques , cardiovascular@@@8680	leaf
epidemiological_monitoring	comprehensive health care@@@4907	leaf
meningitis_,_viral	infections@@@8650	leaf
online_social_networking	organizations@@@8735	leaf
pathology_,_veterinary	rain@@@8041	acid rain@@@1233
account_book	information services@@@4770	leaf
pneumonia_,_pneumococcal	infections@@@8650	leaf
vascular_diseases	asia@@@4455	taiwan@@@9558
dermatitis_,_allergic_contact	epidemiologic factors@@@1057	leaf
diabetes_mellitus_,_type_2	metabolic diseases@@@4588	diabetes mellitus@@@9481
social_marketing	comprehensive health care@@@4907	leaf
health_records_,_personal	north america@@@6676	california@@@839
education_,_medical_,_continuing	rain@@@8041	acid rain@@@1233
nervous_system_autoimmune_disease_,_experimental	autoimmune diseases@@@6162	autoimmune pancreatitis@@@4672
rna_,_algal	volunteers@@@2625	hospital volunteers@@@1958
receptors_,_peptide	accounting@@@5256	financial audit@@@5667
culture_media	diagnostic uses of chemicals@@@1694	leaf
mesenchymal_stem_cells	forecasting@@@9526	population forecast@@@6673
lithium	time@@@1425	circadian rhythm@@@4729
ion_channel_gating	security measures@@@466	leaf
dental_pulp	comprehensive dental care@@@4330	leaf
rna_precursors	genome components@@@2687	rna splice sites@@@3314
cos_cells	health occupations@@@8954	office visits@@@8121
african_union	smoke@@@5642	tobacco smoke pollution@@@3317
ear_neoplasms	defense mechanisms@@@1283	leaf
feeder_cells	perioperative period@@@7076	preoperative period@@@9534
eye_injuries	wounds and injuries@@@3991	multiple trauma@@@2221
hospital_bed_capacity	middle east@@@5875	israel@@@7744
systematic_review	aged@@@4949	frail elderly@@@964
cortical_spreading_depression	health occupations@@@8954	helsinki declaration@@@2617
auditory_brain_stem_implantation	nurse practitioners@@@2129	family nurse practitioners@@@2257
interview_,_psychological	treatment outcome@@@9254	leaf
education_,_veterinary	tidal waves@@@9466	leaf
streptavidin	viral structural proteins@@@3560	leaf
electronic_supplementary_materials	publication components@@@1260	leaf
sex_characteristics	north america@@@6676	washington@@@5185
plant_viral_movement_proteins	professional practice@@@4033	nursing faculty practice@@@7530
consciousness_monitors	security measures@@@466	leaf
age_groups	health occupations@@@8954	helsinki declaration@@@2617
muscle_weakness	professional practice@@@4033	nursing faculty practice@@@7530
phantom_limb	root	leaf
housing	logic@@@4787	fuzzy logic@@@7764
posterior_cerebral_artery	cerebral cortex@@@8881	occipital lobe@@@5190
practice_patterns_,_physicians_'	fossil fuels@@@5400	petroleum@@@7074
adenocarcinoma_in_situ	climate@@@5645	cold climate@@@5811
models_,_molecular	aged@@@4949	frail elderly@@@964
bile_ducts	organization@@@2434	health care related organization@@@8577
single_photon_emission_computed_tomography_computed_tomography	diagnostic techniques , cardiovascular@@@8680	leaf
catalog	publication components@@@1260	leaf
trigger_points	middle east@@@5875	saudi arabia@@@4050
north_sea	body regions@@@3182	leaf
secretory_component	biological factors@@@4748	leaf
dna	biological factors@@@4748	leaf
abdominal_muscles	abdominal muscles@@@814	abdominal oblique muscles@@@7432
aortic_valve_insufficiency	students@@@4289	students , nursing@@@1479
veterans_health	comprehensive health care@@@4907	leaf
ethics_,_nursing	comprehensive health care@@@4907	leaf
prosthesis_fitting	comprehensive dental care@@@4330	leaf
sepsis	north america@@@6676	washington@@@5185
animals_,_inbred_strains	nurse practitioners@@@2129	family nurse practitioners@@@2257
carcinoma_,_transitional_cell	biliary tract diseases@@@4313	biliary tract neoplasms@@@516
new_south_wales	information science@@@3831	rare books@@@3735
tai_ji	psychological techniques@@@6131	leaf
