Query	Parent	Child
pickled_capers	condiment@@@655	leaf
veal_shoulder	vegetable dish@@@866	leaf
gin	food product@@@908	yogurt@@@409
dark_soy_sauce	food product@@@908	leaf
curry_powder	food product@@@908	leaf
hemp_milk	food product@@@908	leaf
sea_salt	food product@@@908	leaf
olive_juice	alcoholic beverage@@@476	leaf
pepperoni	chapati@@@709	leaf
frozen_dessert	food@@@826	leaf
stimulant_foodstuff	sandwich bread@@@539	leaf
palm_sugar	processed food@@@134	leaf
suet	food@@@826	leaf
tagliolini	food@@@826	leaf
fermented_milk_products_other_than_sour_cream_and_cottage_cheese	condiment@@@655	leaf
wheat_flakes	food product@@@908	leaf
barley	food product@@@908	leaf
french_onion_soup	dessert@@@776	leaf
ground_beef	food product@@@908	leaf
coconut_liqueur	condiment@@@655	leaf
lamb_broth	condiment@@@655	leaf
parsnip	vegetable dish@@@866	leaf
shirataki_noodles	sandwich bread@@@539	leaf
quail_eggs	meat dish@@@640	leaf
cucumber_juice	food product@@@908	leaf
sesame_oil	food@@@826	leaf
strawberry	meat product@@@771	leaf
hamburger	food ingredient@@@154	leaf
fresh_cheese	dessert@@@776	leaf
instant_mashed_potatoes	food product@@@908	leaf
confection	vegetable@@@820	leaf
rapeseed_oil	food product@@@908	leaf
bottled_water	pasta@@@679	leaf
offal	sweet bread@@@186	leaf
meringue	food product@@@908	yogurt@@@409
mustard	vegetable oil@@@202	leaf
marmalade	dessert@@@776	leaf
cornbread	meat product@@@771	leaf
turkey_heart	meat product@@@771	leaf
cracklings	food product@@@908	leaf
lean_meat	fast food@@@405	leaf
salt_pork	food product@@@908	leaf
pork_belly	food@@@826	leaf
dessert_with_spoon	meat dish@@@640	leaf
ginger_beer	dessert@@@776	leaf
beef_liver	pasta@@@679	leaf
cottage_cheese	warm alcoholic drink@@@863	leaf
mixed_nuts	meat dish@@@640	leaf
home_fries	staple food@@@657	leaf
alfalfa_sprouts	food product@@@908	yogurt@@@409
layer_cake	meat@@@358	leaf
grape_leaves	staple food@@@657	leaf
rice	condiment@@@655	leaf
canned_pineapple	food product@@@908	yogurt@@@409
hot_mustard	food product@@@908	leaf
double_cream	meat dish@@@640	leaf
roux	soup@@@810	leaf
apricot_marmalade	food@@@826	leaf
apple_cider	staple food@@@657	leaf
grape_soda	food ingredient@@@154	leaf
popcorn	meat product@@@771	leaf
truffle	food product@@@908	leaf
sandwich	food ingredient@@@154	leaf
buckwheat_noodles	meat@@@358	leaf
garam_masala	food product@@@908	leaf
bakers_yeast	food product@@@908	yogurt@@@409
textured_vegetable_protein	food product@@@908	leaf
elderflower_cordial	condiment@@@655	leaf
potato_salad	dessert@@@776	leaf
peach_jam	food product@@@908	leaf
tenderloin	food product@@@908	leaf
milk_substitute	food product@@@908	leaf
kidney_bean	food product@@@908	leaf
nonpareils	animal fats and oils@@@518	leaf
raspberry_juice	soft drink@@@10	leaf
asparagus	sweet bread@@@186	leaf
garlic_paste	food product@@@908	leaf
meat_product	food product@@@908	leaf
hazelnut_butter	food product@@@908	leaf
paprika	stimulant foodstuff@@@81	leaf
pink_grapefruit_juice	meat dish@@@640	leaf
spiced_rum	warm alcoholic drink@@@863	leaf
almond_butter	food product@@@908	leaf
iced_tea	dessert@@@776	leaf
garlic_salt	food product@@@908	leaf
fruit_jam	liquor@@@426	leaf
cayenne_pepper	condiment@@@655	leaf
liverwurst	food product@@@908	leaf
pork_stock	food ingredient@@@154	leaf
sangria	meat product@@@771	leaf
fennel_bulb	food@@@826	leaf
capellini	food@@@826	leaf
fruit_dish	vegetable stock@@@513	leaf
drinking_water	food product@@@908	leaf
