Query	Parent	Child
pickled_capers	condiment@@@655	leaf
veal_shoulder	okpd2 and cpa 2008 10321@@@883	leaf
gin	alcoholic beverage@@@476	leaf
dark_soy_sauce	bread@@@88	potato bread@@@232
curry_powder	food ingredient@@@154	leaf
hemp_milk	food@@@826	leaf
sea_salt	condiment@@@655	leaf
olive_juice	alcoholic beverage@@@476	leaf
pepperoni	cottage cheese@@@388	leaf
frozen_dessert	okpd2 and cpa 2008 10321@@@883	leaf
stimulant_foodstuff	chicken meat@@@166	chicken liver@@@604
palm_sugar	food@@@826	chicken salad@@@332
suet	drink@@@569	peach vodka@@@927
tagliolini	pasta@@@679	leaf
fermented_milk_products_other_than_sour_cream_and_cottage_cheese	food@@@826	leaf
wheat_flakes	condiment@@@655	leaf
barley	grain@@@639	leaf
french_onion_soup	okpd2 and cpa 2008 10321@@@883	leaf
ground_beef	fast food@@@405	leaf
coconut_liqueur	okpd2 and cpa 2008 10321@@@883	leaf
lamb_broth	food@@@826	leaf
parsnip	vegetable@@@820	leaf
shirataki_noodles	cooking oil@@@242	lemon oil@@@862
quail_eggs	food@@@826	chicken salad@@@332
cucumber_juice	condiment@@@655	leaf
sesame_oil	okpd2 and cpa 2008 10321@@@883	leaf
strawberry	cooking oil@@@242	lemon oil@@@862
hamburger	non alcoholic beverage@@@229	apricot juice@@@117
fresh_cheese	cottage cheese@@@388	leaf
instant_mashed_potatoes	food@@@826	leaf
confection	chicken meat@@@166	chicken drumstick@@@24
rapeseed_oil	okpd2 and cpa 2008 10321@@@883	leaf
bottled_water	chicken meat@@@166	chicken liver@@@604
offal	rum@@@790	white rum@@@690
meringue	dessert@@@776	leaf
mustard	condiment@@@655	leaf
marmalade	jam@@@500	leaf
cornbread	drink@@@569	peach vodka@@@927
turkey_heart	okpd2 and cpa 2008 10321@@@883	leaf
cracklings	side dish@@@802	leaf
lean_meat	okpd2 and cpa 2008 10321@@@883	leaf
salt_pork	okpd2 and cpa 2008 10321@@@883	leaf
pork_belly	non alcoholic beverage@@@229	processed milk dairy products and dairy constituents other than cow milk butter butter paste cheese cheese products and milk fat@@@173
dessert_with_spoon	cooking oil@@@242	corn oil@@@138
ginger_beer	alcoholic beverage@@@476	leaf
beef_liver	salad@@@675	potato salad@@@677
cottage_cheese	food@@@826	leaf
mixed_nuts	chicken meat@@@166	chicken drumstick@@@24
home_fries	sandwich@@@601	leaf
alfalfa_sprouts	okpd2 and cpa 2008 10321@@@883	leaf
layer_cake	edible fats and oils@@@563	hazelnut butter@@@785
grape_leaves	dish@@@325	chicken salad@@@332
rice	spirit drink@@@755	honey liqueur@@@471
canned_pineapple	food@@@826	leaf
hot_mustard	condiment@@@655	leaf
double_cream	chicken meat@@@166	chicken drumstick@@@24
roux	roux@@@514	leaf
apricot_marmalade	food@@@826	leaf
apple_cider	flour@@@793	potato flour@@@56
grape_soda	animal fats and oils@@@518	chicken fat@@@769
popcorn	animal fats and oils@@@518	chicken fat@@@769
truffle	drink@@@569	ricard@@@350
sandwich	vegetable oil@@@202	lemon oil@@@862
buckwheat_noodles	dish@@@325	chicken salad@@@332
garam_masala	food@@@826	leaf
bakers_yeast	egg@@@626	quail eggs@@@203
textured_vegetable_protein	condiment@@@655	leaf
elderflower_cordial	alcoholic beverage@@@476	leaf
potato_salad	bread@@@88	leaf
peach_jam	food@@@826	leaf
tenderloin	drink@@@569	honey liqueur@@@471
milk_substitute	food@@@826	leaf
kidney_bean	okpd2 and cpa 2008 10321@@@883	leaf
nonpareils	meat@@@358	spam@@@150
raspberry_juice	condiment@@@655	leaf
asparagus	drink@@@569	honey liqueur@@@471
garlic_paste	okpd2 and cpa 2008 10321@@@883	leaf
meat_product	condiment@@@655	leaf
hazelnut_butter	okpd2 and cpa 2008 10321@@@883	leaf
paprika	condiment@@@655	leaf
pink_grapefruit_juice	chicken meat@@@166	chicken liver@@@604
spiced_rum	condiment@@@655	leaf
almond_butter	condiment@@@655	leaf
iced_tea	dessert@@@776	leaf
garlic_salt	condiment@@@655	leaf
fruit_jam	salami@@@451	leaf
cayenne_pepper	condiment@@@655	leaf
liverwurst	cooking oil@@@242	lemon oil@@@862
pork_stock	processed food@@@134	leaf
sangria	animal fats and oils@@@518	beef fat@@@301
fennel_bulb	okpd2 and cpa 2008 10321@@@883	leaf
capellini	pasta@@@679	leaf
fruit_dish	cooking oil@@@242	pistachio oil@@@596
drinking_water	food@@@826	leaf
